player,year,attempts,made,expected_made,kick_plus,tier
Aaron Elling,2003,25,18,19.7,91.2,ranked
Aaron Elling,2004,2,1,1.8,56.2,unranked
Aaron Elling,2005,1,0,0.5,0.0,unranked
Aaron Pettrey,2010,4,2,3.6,55.0,unranked
Adam Vinatieri,2001,30,24,23.0,104.4,ranked
Adam Vinatieri,2002,30,27,23.1,116.7,ranked
Adam Vinatieri,2003,34,25,29.0,86.2,ranked
Adam Vinatieri,2004,33,31,27.5,112.8,ranked
Adam Vinatieri,2005,25,20,20.5,97.6,ranked
Adam Vinatieri,2006,28,25,22.8,109.6,ranked
Adam Vinatieri,2007,29,23,26.3,87.6,ranked
Adam Vinatieri,2008,25,20,21.1,94.8,ranked
Adam Vinatieri,2009,9,7,7.6,92.4,unranked
Adam Vinatieri,2010,28,26,23.8,109.2,ranked
Adam Vinatieri,2011,27,23,22.2,103.5,ranked
Adam Vinatieri,2012,33,26,27.3,95.1,ranked
Adam Vinatieri,2013,40,35,34.0,103.1,ranked
Adam Vinatieri,2014,31,30,26.8,111.7,ranked
Adam Vinatieri,2015,27,25,22.8,109.4,ranked
Adam Vinatieri,2016,31,27,24.0,112.3,ranked
Adam Vinatieri,2017,34,29,28.8,100.8,ranked
Adam Vinatieri,2018,27,23,22.9,100.3,ranked
Adam Vinatieri,2019,25,17,20.3,83.8,ranked
Aldrick Rosas,2017,25,18,21.4,84.1,ranked
Aldrick Rosas,2018,33,32,28.9,110.7,ranked
Aldrick Rosas,2019,17,12,14.8,81.0,small_sample
Aldrick Rosas,2020,11,8,8.9,90.1,small_sample
