player,bucket,attempts,made,expected_made,kick_plus
Zane Gonzalez,30-39,31,27,28.2,95.6
Zane Gonzalez,40-49,54,41,42.3,96.8
Zane Gonzalez,50-59,28,18,18.9,95.2
Dustin Hopkins,<20,2,2,2.0,100.0
Nick Rose,20-29,6,6,5.9,102.1
Nick Rose,30-39,4,3,3.4,87.5
Nick Rose,40-49,2,1,1.6,63.0
Nick Rose,50-59,2,1,1.4,70.5
Younghoe Koo,20-29,53,53,51.8,102.3
Younghoe Koo,40-49,64,49,50.1,97.9
Sam Ficken,20-29,10,9,9.7,92.6
Sam Ficken,30-39,16,14,14.7,95.3
Ka'imi Fairbairn,<20,1,1,1.0,100.0
Brett Maher,20-29,35,35,34.4,101.7
Brett Maher,30-39,34,29,31.6,91.8
Brett Maher,40-49,36,25,27.9,89.8
Brett Maher,50-59,30,18,20.0,90.1
Brett Maher,60+,4,4,1.6,252.4
Dustin Hopkins,60+,1,0,0.4,0.0
Daniel Carlson,20-29,73,72,71.3,101.0
Daniel Carlson,30-39,65,62,60.5,102.4
Daniel Carlson,40-49,70,54,54.5,99.1
Daniel Carlson,50-59,50,36,34.6,104.1
Jason Sanders,20-29,47,46,46.0,100.1
Jason Sanders,30-39,55,52,51.2,101.5
Jason Sanders,40-49,70,55,54.5,100.9
Jason Sanders,50-59,48,33,32.8,100.6
Greg Joseph,20-29,34,34,33.4,101.9
Greg Joseph,30-39,38,37,35.6,104.0
Greg Joseph,40-49,38,27,29.7,91.0
Greg Joseph,50-59,29,16,20.0,80.1
Mike Badgley,20-29,29,28,28.3,98.8
Mike Badgley,30-39,33,32,30.7,104.3
Mike Badgley,40-49,53,42,41.6,100.9
Mike Badgley,50-59,16,7,10.8,65.1
Matt McCrane,20-29,3,3,3.0,101.5
Matt McCrane,30-39,2,2,1.9,106.2
Matt McCrane,40-49,5,3,3.8,78.8
Matt McCrane,50-59,2,0,1.3,0.0
Sam Ficken,40-49,13,8,9.4,84.9
Johnny Hekker,20-29,1,1,1.0,101.5
Matt Gay,20-29,45,45,44.1,102.1
Matt Gay,30-39,62,57,57.8,98.7
Matt Gay,40-49,55,48,42.7,112.5
Matt Gay,50-59,52,32,35.5,90.2
Joey Slye,20-29,49,45,47.8,94.1
Joey Slye,30-39,49,47,45.7,102.9
Joey Slye,40-49,61,47,47.9,98.1
Joey Slye,50-59,47,33,31.7,104.2
Joey Slye,60+,8,2,2.8,71.9
Austin Seibert,20-29,16,16,15.6,102.5
Austin Seibert,30-39,27,27,25.1,107.8
Austin Seibert,40-49,32,25,24.2,103.3
Austin Seibert,50-59,11,4,7.5,53.3
Eddy Pineiro,<20,1,1,1.0,100.0
Eddy Pineiro,20-29,30,30,29.4,102.1
Eddy Pineiro,30-39,52,49,48.2,101.6
Eddy Pineiro,40-49,51,42,40.3,104.1
Eddy Pineiro,50-59,20,17,13.8,123.6
Sam Ficken,50-59,9,4,5.5,72.6
Younghoe Koo,30-39,57,53,53.0,100.0
Younghoe Koo,50-59,41,29,28.4,102.2
Chase McLaughlin,<20,1,1,1.0,100.0
Chase McLaughlin,20-29,41,41,40.1,102.2
Chase McLaughlin,30-39,45,42,42.0,100.0
Chase McLaughlin,40-49,48,31,37.6,82.4
Chase McLaughlin,50-59,49,42,34.1,123.3
Ty Long,30-39,3,2,2.7,73.0
Ty Long,40-49,5,4,3.6,112.1
Ty Long,50-59,1,1,0.6,170.7
Kaare Vedvik,40-49,1,0,0.7,0.0
Jason Sanders,<20,1,1,1.0,100.0
Rodrigo Blankenship,20-29,15,15,14.5,103.1
Rodrigo Blankenship,30-39,17,15,15.8,94.9
Rodrigo Blankenship,40-49,19,15,15.1,99.1
Rodrigo Blankenship,50-59,5,2,3.4,59.3
Tyler Bass,<20,1,1,1.0,100.0
Tyler Bass,20-29,39,38,38.2,99.6
Tyler Bass,30-39,50,43,46.7,92.1
Tyler Bass,40-49,42,33,33.2,99.4
Tyler Bass,50-59,21,15,14.4,103.8
Tyler Bass,60+,2,1,0.4,272.7
Harrison Butker,<20,4,4,4.0,100.0
Sam Sloman,20-29,3,2,2.9,69.3
Sam Sloman,30-39,6,6,5.6,107.5
Sam Sloman,40-49,3,2,2.4,82.7
Sam Sloman,50-59,1,0,0.7,0.0
Sergio Castillo,20-29,2,1,1.9,52.0
Sergio Castillo,30-39,4,3,3.7,80.7
Sergio Castillo,40-49,5,2,4.0,49.6
Sergio Castillo,50-59,2,2,1.3,150.5
Chase McLaughlin,60+,2,1,0.6,154.9
Matthew Wright,20-29,13,13,12.8,101.8
Matthew Wright,30-39,24,23,22.4,102.9
Matthew Wright,40-49,20,17,16.0,106.3
Tristan Vizcaino,30-39,5,5,4.6,107.7
Tristan Vizcaino,40-49,4,3,3.2,94.8
Jon Brown,30-39,2,1,1.9,53.8
Jamie Gillan,60+,1,0,0.1,0.0
Elliott Fry,20-29,1,1,1.0,104.0
Taylor Russolino,50-59,1,0,0.7,0.0
Evan McPherson,20-29,26,25,25.5,98.2
Evan McPherson,30-39,28,28,26.1,107.1
Evan McPherson,40-49,45,36,36.1,99.8
Evan McPherson,50-59,41,28,28.5,98.3
Matthew Wright,50-59,11,7,7.6,92.4
Ka'imi Fairbairn,60+,1,1,0.4,225.0
Matt Ammendola,20-29,10,10,9.8,101.5
Matt Ammendola,30-39,11,10,10.3,97.5
