rank,player,year,attempts,kick_plus
468,Mason Crosby,2016,30,98.2
469,Sebastian Janikowski,2018,27,98.1
470,Jeff Wilkins,2002,25,98.1
471,Daniel Carlson,2023,30,98.1
472,Mike Vanderjagt,2004,25,98.1
473,Randy Bullock,2022,20,98.1
474,Billy Cundiff,2003,24,98.1
475,John Kasay,2011,34,98.1
476,Joey Slye,2025,35,98.1
477,Joe Nedney,2006,35,98.0
478,Josh Scobee,2010,28,98.0
479,Robbie Gould,2012,25,97.9
480,Phil Dawson,2010,28,97.9
481,Evan McPherson,2022,29,97.9
482,Shaun Suisham,2009,24,97.8
483,Brandon McManus,2023,37,97.8
484,Jake Elliott,2018,31,97.8
485,Mason Crosby,2022,29,97.8
486,Mike Vanderjagt,2002,31,97.6
487,Adam Vinatieri,2005,25,97.6
488,Tyler Bass,2020,34,97.6
489,Jay Feely,2008,28,97.5
490,John Hall,2002,31,97.5
491,Mike Nugent,2013,22,97.5
492,Cairo Santos,2025,30,97.5
493,Rian Lindell,2004,28,97.5
494,Jason Myers,2023,42,97.5
495,Chase McLaughlin,2019,23,97.5
496,Nick Folk,2014,39,97.5
497,Joshua Karty,2024,34,97.4
498,Joey Slye,2022,30,97.3
499,Nick Novak,2011,34,97.3
500,Harrison Butker,2024,25,97.3
501,Rob Bironas,2013,29,97.3
502,Nate Kaeding,2004,25,97.3
503,Randy Bullock,2015,23,97.2
504,Steven Hauschka,2018,28,97.2
505,Lawrence Tynes,2012,39,97.2
506,Mason Crosby,2010,28,97.1
507,Ryan Succop,2011,30,97.1
508,Matt Gay,2024,37,97.1
509,Billy Cundiff,2004,26,97.1
510,Neil Rackers,2006,37,97.1
511,Graham Gano,2016,38,97.0
512,Lawrence Tynes,2007,27,97.0
513,Steve Christie,2004,28,97.0
514,Daniel Carlson,2025,27,97.0
515,Rian Lindell,2005,32,97.0
516,Dan Carpenter,2010,41,97.0
517,Matt Prater,2014,26,97.0
518,Kris Brown,2006,25,97.0
519,Tyler Bass,2021,32,96.9
520,Bill Gramatica,2002,21,96.9
521,Mike Nugent,2005,28,96.9
522,Lawrence Tynes,2010,23,96.9
523,Will Reichard,2024,30,96.8
524,Greg Zuerlein,2021,35,96.8
525,Brandon McManus,2022,36,96.8
526,Matt Bryant,2002,32,96.7
527,Randy Bullock,2021,31,96.7
528,Nick Folk,2011,25,96.7
529,Josh Scobee,2004,31,96.6
530,Matt Prater,2021,37,96.6
531,Matt Bryant,2008,38,96.6
532,Olindo Mare,2010,30,96.5
533,Brett Maher,2018,36,96.5
534,Stephen Gostkowski,2012,35,96.4
535,Ryan Succop,2012,34,96.4
536,Mike Nugent,2007,36,96.4
537,Jason Sanders,2022,32,96.3
538,Lawrence Tynes,2006,31,96.3
539,David Akers,2005,22,96.3
540,Mike Nugent,2012,23,96.3
541,Jason Hanson,2009,28,96.3
542,Stephen Gostkowski,2018,32,96.2
543,Eddy Pineiro,2024,26,96.2
544,Joey Slye,2020,36,96.2
545,David Akers,2008,40,96.1
546,Sebastian Janikowski,2008,30,96.1
547,Matt Gay,2023,41,96.1
548,Morten Andersen,2004,22,96.1
549,Sebastian Janikowski,2015,26,96.0
550,Jason Elam,2002,36,96.0
551,Rian Lindell,2010,21,96.0
552,Cairo Santos,2014,30,95.9
553,Steve Christie,2003,20,95.9
554,Sebastian Janikowski,2006,25,95.9
555,Jay Feely,2013,36,95.8
556,Josh Scobee,2014,26,95.8
557,Ka'imi Fairbairn,2017,25,95.8
558,Joey Slye,2024,33,95.7
559,Randy Bullock,2020,26,95.7
560,Jason Elam,2005,32,95.6
561,Josh Scobee,2005,30,95.6
562,Matt Bryant,2006,22,95.5
563,Garrett Hartley,2010,25,95.4
564,Mason Crosby,2008,34,95.4
565,Tyler Bass,2023,29,95.4
566,Dustin Hopkins,2016,42,95.4
567,Nate Kaeding,2008,32,95.4
568,Matt Prater,2012,32,95.4
569,Josh Brown,2003,30,95.4
570,Andy Borregales,2025,32,95.3
571,Ryan Longwell,2011,28,95.2
572,Mike Badgley,2021,22,95.2
573,Eddy Pineiro,2019,28,95.2
574,Adam Vinatieri,2012,33,95.1
575,Garrett Hartley,2012,22,95.1
576,Connor Barth,2015,28,95.1
577,Paul Edinger,2003,36,95.0
578,David Buehler,2010,32,94.9
579,Phil Dawson,2017,40,94.9
580,Ryan Succop,2022,38,94.9
581,Adam Vinatieri,2008,25,94.8
582,Blake Grupe,2023,37,94.7
583,Joey Slye,2023,24,94.7
584,Robbie Gould,2022,32,94.7
585,Ryan Fitzgerald,2025,29,94.7
586,Caleb Sturgis,2015,22,94.7
587,Alex Henery,2013,28,94.6
588,Wil Lutz,2020,28,94.6
589,Greg Zuerlein,2014,30,94.6
590,Greg Joseph,2022,33,94.5
591,Jake Moody,2023,25,94.4
592,Dustin Hopkins,2020,34,94.4
593,Rob Bironas,2006,28,94.2
594,Rian Lindell,2008,38,94.2
595,Lawrence Tynes,2004,23,94.1
596,Ryan Succop,2010,26,94.1
597,Jason Sanders,2019,30,94.0
598,Lawrence Tynes,2011,24,94.0
599,Jake Bates,2025,34,93.9
600,Ryan Longwell,2005,27,93.9
601,Rob Bironas,2012,31,93.9
602,Josh Lambo,2016,32,93.9
603,John Carney,2003,30,93.7
604,Anders Carlson,2023,33,93.6
605,Billy Cundiff,2013,26,93.6
606,Kai Forbath,2013,22,93.6
607,Matt Stover,2008,33,93.5
608,Rian Lindell,2013,29,93.5
609,Mike Nugent,2014,33,93.4
610,Olindo Mare,2011,28,93.4
611,Cody Parkey,2016,25,93.4
612,Ryan Succop,2021,30,93.3
613,Greg Joseph,2024,20,93.3
614,Shaun Suisham,2008,32,93.3
615,Blair Walsh,2014,35,93.2
616,Jay Feely,2011,24,93.2
617,Neil Rackers,2007,30,93.1
618,Jay Feely,2004,23,92.8
619,Matt Prater,2020,28,92.7
620,Olindo Mare,2006,36,92.7
621,Paul Edinger,2005,34,92.7
622,Chandler Catanzaro,2016,28,92.5
623,John Carney,2005,32,92.3
624,Nick Folk,2010,39,92.3
625,Matt Prater,2011,25,92.3
626,Caleb Sturgis,2014,37,92.3
627,Greg Joseph,2023,30,92.2
628,Sam Ficken,2019,27,92.1
629,Robbie Gould,2005,27,92.0
630,Greg Zuerlein,2019,33,91.8
631,Mason Crosby,2009,36,91.7
632,Jay Feely,2003,27,91.6
633,Billy Cundiff,2009,23,91.5
634,Nick Folk,2012,27,91.5
635,Jake Moody,2025,23,91.5
636,Jake Elliott,2024,36,91.4
637,Kris Brown,2005,32,91.4
638,Jose Cortez,2001,25,91.4
639,Mike Nugent,2016,29,91.4
640,David Akers,2006,23,91.3
641,Josh Scobee,2008,25,91.3
642,Aaron Elling,2003,25,91.2
643,Josh Brown,2011,28,91.1
644,Billy Cundiff,2011,37,91.0
645,Chandler Catanzaro,2018,20,91.0
646,Blake Grupe,2025,37,90.9
647,Ryan Succop,2013,28,90.8
648,David Akers,2013,24,90.8
649,Billy Cundiff,2014,29,90.8
650,Dave Rayner,2006,35,90.7
651,Brett Maher,2023,23,90.7
652,Brandon McManus,2025,30,90.6
653,Steve Christie,2002,26,90.5
654,Chad Ryland,2025,33,90.5
655,Giorgio Tavecchio,2017,21,90.4
656,Caleb Sturgis,2013,34,90.3
657,Graham Gano,2011,41,90.1
658,Connor Barth,2016,23,90.1
659,Ryan Longwell,2001,31,89.8
660,David Akers,2007,32,89.7
661,Dan Bailey,2017,20,89.7
662,Harrison Butker,2022,24,89.7
663,Brandon McManus,2017,32,89.7
664,Justin Tucker,2024,30,89.5
665,Matt Gay,2025,23,89.4
666,Cody Parkey,2018,30,89.3
667,Jeff Reed,2010,32,89.2
668,Kris Brown,2001,44,89.1
669,Phil Dawson,2006,29,89.0
670,Kris Brown,2004,24,89.0
671,Cade York,2022,32,89.0
672,Stephen Gostkowski,2006,26,89.0
673,Jeff Wilkins,2007,28,88.9
674,Matt Prater,2008,34,88.9
675,Jake Elliott,2025,27,88.6
676,Zane Gonzalez,2017,20,88.6
677,Wil Lutz,2022,31,88.5
678,Robbie Gould,2019,31,88.3
679,Younghoe Koo,2024,34,88.2
680,Jason Sanders,2021,31,88.1
681,Shaun Suisham,2011,31,88.0
682,Zane Gonzalez,2020,22,88.0
683,Jeff Reed,2006,27,88.0
684,Dan Carpenter,2016,25,87.8
685,Jose Cortez,2002,32,87.8
686,Daniel Carlson,2019,26,87.7
687,Adam Vinatieri,2007,29,87.6
688,Chase McLaughlin,2021,21,87.5
689,Jason Myers,2021,23,87.4
690,Chris Boswell,2022,28,87.3
691,Rian Lindell,2001,32,87.3
692,Greg Zuerlein,2015,30,87.2
693,Randy Bullock,2013,35,87.1
694,Josh Scobee,2009,28,86.7
695,Mike Badgley,2020,33,86.5
696,Evan McPherson,2024,22,86.5
697,Adam Vinatieri,2003,34,86.2
698,Stephen Gostkowski,2020,26,86.1
699,Dan Bailey,2018,28,86.0
700,Jeff Reed,2003,31,85.8
701,Sebastian Janikowski,2005,30,85.7
702,Andrew Franks,2016,21,85.5
703,Rian Lindell,2003,24,85.5
704,Lucas Havrisik,2023,20,85.4
705,Blair Walsh,2017,29,85.1
706,Mike Hollis,2001,28,84.9
707,Jake Moody,2024,34,84.5
708,Aldrick Rosas,2017,25,84.1
709,Adam Vinatieri,2019,25,83.8
710,Graham Gano,2010,35,83.7
711,Mason Crosby,2021,34,83.6
712,Sebastian Janikowski,2013,30,83.4
713,Brett Maher,2019,30,83.2
714,Garrett Hartley,2013,30,83.0
715,David Akers,2012,42,82.5
716,Dave Rayner,2007,22,81.9
717,Martin Gramatica,2003,26,81.3
718,Dan Bailey,2020,22,81.3
719,Roberto Aguayo,2016,31,81.1
720,Wade Richey,2001,32,80.9
721,Dustin Hopkins,2024,27,80.3
722,Nick Folk,2009,28,80.0
723,Mason Crosby,2012,33,79.9
